Rname	total_insertions	meanFreq	consensusLength
diver2	7	0.163265306122449	4917
diver	4	0.142857142857143	6112
copia2	1	0.142857142857143	4558
copia	59	0.147699757869249	5143
Circe	2	0.142857142857143	7450
Chouto	1	0.142857142857143	6951
Burdock	15	0.152380952380952	6411
BS3	1	0.142857142857143	1790
BS2	4	0.142857142857143	4721
BS	109	0.142857142857143	5142
blood	21	0.149659863945578	7410
Bica	5	0.142857142857143	4943
BEL	8	0.178571428571429	6126
Bari1	7	0.163265306122449	1728
Baggins1	5	0.142857142857143	5453
accord2	264	0.143398268398268	7650
accord	15	0.152380952380952	7404
1360	78	0.179487179487179	3409
R1-2	0.1	1	3216
Bari2	0.1	1	1064
family-2202_Pao	0.1	1	1346
family-5171_Pao	0.1	1	791
family-53_gypsy_truncated	0.1	1	4065
family-70_Diver2-like	0.1	1	3650
family-49_Tc3	0.1	1	1526
rnd-1_family-97_LINE	0.1	1	1172
rnd-5_family-198_jockey	0.1	1	1213
rnd-1_family-103_Gypsy	0.1	1	2894
rnd-1_family-110_Gypsy	0.1	1	1470
rnd-1_family-253_R1-LOA	0.1	1	747
rnd-1_family-379_Gypsy	0.1	1	1123
family-6086_diver	0.1	1	2018
family-966_Pao	0.1	1	5047
R1A1-element	0.1	1	5356
looper1	0.1	1	1881
