Rname	total_insertions	meanFreq	length	activity
R2-element	1	0.142857143	3607	inactive
mariner2	1	0.142857143	912	inactive
hopper2	1	0.142857143	1593	inactive
Helena	1	0.142857143	1317	inactive
gtwin	1	0.142857143	7411	inactive
G5	1	0.142857143	4856	inactive
Fw3	1	0.142857143	3132	inactive
Fw2	1	0.142857143	3961	inactive
family-7121_ninja-like	1	0.142857143	4041	inactive
family-66_blastopia-like	1	0.142857143	4454	inactive
family-3830_accord-like	1	0.142857143	2248	inactive
family-358_hAT	1	0.142857143	3180	inactive
family-252_hAT_BEDzf	1	0.142857143	1106	inactive
family-2266_Blastopia-like	1	0.142857143	2318	inactive
family-1439_transib-N1-like	1	0.142857143	1774	inactive
Doc4	1	0.142857143	2791	inactive
copia2	1	0.142857143	4558	inactive
Chouto	1	0.142857143	6951	inactive
BS3	1	0.142857143	1790	inactive
family-2226_Tc1-like	1	0.285714286	1616	inactive
R1-2	0	1	3216	inactive
Bari2	0	1	1064	inactive
family-2202_Pao	0	1	1346	inactive
family-5171_Pao	0	1	791	inactive
family-53_gypsy_truncated	0	1	4065	inactive
family-70_Diver2-like	0	1	3650	inactive
family-49_Tc3	0	1	1526	inactive
rnd-1_family-97_LINE	0	1	1172	inactive
rnd-5_family-198_jockey	0	1	1213	inactive
rnd-1_family-103_Gypsy	0	1	2894	inactive
rnd-1_family-110_Gypsy	0	1	1470	inactive
rnd-1_family-253_R1-LOA	0	1	747	inactive
rnd-1_family-379_Gypsy	0	1	1123	inactive
family-6086_diver	0	1	2018	inactive
family-966_Pao	0	1	5047	inactive
R1A1-element	0	1	5356	inactive
looper1	0	1	1881	inactive
